device_id,os,appver,log_time,duration,source,song_id,action
O21747461S,android,5.4.0,1533087870,160,DailyRecommends,84239,play
P96798826F,android,5.4.0,1533066447,7,PersonalFM,47567,play
P96798826F,android,5.4.0,1533131566,149,UserCreatedList,38224,play
L59138887N,web,null,1533130349,10,UserLikeList,43701,play
R88622339P,android,5.4.0,1533120843,177,RecommendedList,87100,play
T27323235N,android,5.4.0,1533103254,45,DailyRecommends,42158,play
O21747461S,pc,2.4.0.196402,1533077632,49,UserCreatedList,87802,play
J78967010Q,android,5.4.0,1533070439,68,RecommendedList,77171,play
U46734872N,android,5.3.1,1533111941,158,UserLikeList,29796,play
R70156463Y,pc,2.4.0.196505,1533113852,161,RecommendedList,81624,play
V19631159T,android,5.4.0,1533088936,130,UserLikeList,8254,play
S67865521N,android,5.4.0,1533061365,135,UserLikeList,28084,play
G81673373T,android,5.4.0,1533077009,51,search,99670,play
O21747461S,android,5.4.0,1533087870,160,DailyRecommends,84239,play
F91712707C,iphone,5.3.0,1533115518,145,UserLikeList,18382,play
H65552902I,iphone,5.4.0,1533091070,28000,UserCreatedList,17098,play
E946008R,android,5.4.0,1533102490,45,search,24468,play
H90038889U,web,null,1533083289,44,RecommendedList,54000,play
Y33862574K,android,5.4.0,1533104707,142,UserCollectdList,15509,play
K6432538I,pc,2.2.3.196108,1533105098,158,PersonalFM,57922,play
V4808883G,android,5.4.0,1533054628,146,UserLikeList,45067,play
O51135567N,android,5.3.1,1533080219,167,UserLikeList,68884,play
E57269705S,iphone,5.4.0,1533079060,204,UserLikeList,23744,play
A64132882E,android,5.4.0,1533127223,28,search,52033,play
U71323197U,android,5.4.0,1533113838,100,UserLikeList,94248,play
Z57212987I,ipad,1.5.2,1533081788,142,UserCreatedList,46968,play
C34873926E,android,5.4.0,1533097224,128,artist,25017,play
V45595048Y,android,5.4.0,1533120735,201,Local,80883,play
U49786275K,android,5.4.0,1533117751,207,UserCreatedList,48476,play
T33067259M,android,5.4.0,1533073740,49,Local,4339,play
J35805892L,android,5.4.0,1533086712,146,Local,97339,play
K49084991Z,android,5.4.0,1533099499,115,search,12613,play
T27903258A,android,5.4.0,1533108895,141,UserLikeList,67958,play
Y69308390W,android,5.4.0,1533127289,204,UserLikeList,46504,play
X74392835H,android,5.2.0,1533138404,205,RecommendedList,18344,play
N77270009R,pc,2.4.0.196505,1533109378,142,UserLikeList,85615,play
O84024970A,android,5.4.0,1533058744,29,UserLikeList,27170,play
A93639920X,iphone,5.4.0,1533100562,67,Downloaded,31263,play
A34799180E,android,5.4.0,1533120833,74,artist,77536,play
C93014671L,pc,2.5.0.196623,1533109041,37,UserLikeList,40005,play
B32042365D,pc,2.2.3.196108,1533114007,104,DailyRecommends,36162,play
I20334391B,pc,2.4.0.196505,1533105994,116,DailyRecommends,68045,play
L92286475E,android,5.4.0,1533112494,73,UserLikeList,71683,play
N12166798F,pc,2.4.0.196505,1533101729,196,UserCreatedList,76523,play
F55168048V,android,5.4.0,1533127035,171,UserLikeList,39879,play
J26777924X,android,5.4.0,1533122191,117,UserLikeList,84171,play
H81900147U,pc,2.5.0.196623,1533071202,143,UserCollectdList,31796,play
V12297973S,android,5.4.0,1533103833,1,UserLikeList,79199,play
T50223850B,android,5.4.0,1533096897,159,UserLikeList,23973,play
G76389519B,android,5.4.0,1533053840,180,UserCreatedList,84351,play
Y78610767G,android,5.4.0,1533119841,152,UserLikeList,9041,play
M31704237N,iphone,5.4.0,1533130982,163,UserCreatedList,58901,play
H10848043A,android,5.4.0,1533136598,87,PersonalFM,42535,play
V30533008E,iphone,5.4.0,1533133778,142,UserLikeList,45445,play
Z44268258A,pc,2.2.3.196108,1533062148,20,UserLikeList,34291,play
Q49768152W,iphone,5.4.0,1533130898,117,UserLikeList,2817,play
G64496541P,android,5.4.0,1533115388,67,RecentlyPlayed,22156,play
C65538986Y,pc,2.2.3.196108,1533118874,127,UserLikeList,6838,play
S6297993A,android,5.3.0,1533089062,75,UserCreatedList,6925,play
C96256142N,iphone,5.3.0,1533117936,130,UserCreatedList,55919,play
Q36303639H,pc,2.4.0.196505,1533135045,16,UserCreatedList,36406,play
D63161627A,android,5.4.0,1533112403,83,UserCreatedList,64636,play
P52109604I,android,5.3.1,1533104274,50,artist,46631,play
A18442653Z,android,5.3.1,1533117226,44,Local,43007,play
H88423508I,android,5.4.0,1533103208,2,UserLikeList,49820,play
F67203001N,android,5.4.0,1533133580,118,UserLikeList,68950,play
D90206573K,iphone,5.4.0,1533110517,25,UserLikeList,6580,play
J89933736M,android,5.4.0,1533109926,69,UserLikeList,87966,play
K39988861R,iphone,5.4.0,1533058600,6,DailyRecommends,45334,play
D83187594Y,android,5.4.0,1533105532,110,DailyRecommends,6761,play
U15556119T,iphone,5.4.0,1533077725,126,UserLikeList,50229,play
I9160489H,android,5.4.0,1533097987,165,UserCollectdList,28712,play
Q96163646T,android,5.4.0,1533066929,63,UserLikeList,83976,play
W74667253U,android,5.3.0,1533120940,129,UserCreatedList,43523,play
W40184403B,android,5.4.0,1533129803,73,DailyRecommends,70987,play
E78901989F,android,5.4.0,1533116197,22,RecentlyPlayed,95568,play
L72433753Y,android,5.3.1,1533098975,116,PersonalFM,99723,play
P43894145K,iphone,5.4.0,1533107763,162,UserLikeList,86727,play
C29826766W,android,5.4.0,1533111016,121,UserCreatedList,74032,play
M50847897X,pc,2.4.0.196505,1533124962,151,UserCreatedList,32055,play
O39592314L,android,5.4.0,1533119888,129,UserCreatedList,271,play
D81932778B,android,5.4.0,1533078985,121,DailyRecommends,53543,play
Q41151995F,iphone,4.3.5,1533136767,29,UserLikeList,20434,play
D43760069W,pc,2.5.0.196623,1533110754,187,DailyRecommends,19870,play
P53263323C,android,5.4.0,1533084832,163,RecommendedList,55492,play
L83300333P,android,5.4.0,1533066095,166,UserLikeList,50989,play
Z45102138V,android,5.4.0,1533055226,40,UserLikeList,12636,play
K1259656S,pc,2.3.0.196200,1533128302,143,RecommendedList,55124,play
W79541861G,pc,2.5.0.196623,1533096726,179,RecommendedList,40943,play
X43481313C,android,4.3.5,1533130187,168,DailyRecommends,37350,play
C97188678U,pc,2.2.3.196108,1533121438,197,UserCreatedList,86528,play
H40154185X,iphone,5.4.0,1533064360,1,UserLikeList,75455,play
T24332331L,iphone,5.4.0,1533102665,139,UserLikeList,88244,play
N26715510G,iphone,5.4.0,1533088576,172,RecommendedList,24297,play
Y33400444W,iphone,5.4.0,1533115474,42,UserLikeList,42156,play
R46711161M,android,5.3.1,1533120314,21,UserLikeList,30973,play
W82520065L,android,5.1.1,1533132781,166,DailyRecommends,41863,play
H62995622O,android,5.4.0,1533065344,202,UserCreatedList,65795,play
T93797849X,iphone,5.3.0,1533100342,1,DailyRecommends,45126,play
D37013491U,android,5.0.0,1533108636,183,UserLikeList,91859,play
G79660107T,android,5.4.0,1533124961,174,UserLikeList,65356,play
C58104381N,pc,2.2.3.196108,1533132078,89,UserLikeList,64032,play
H13399576P,iphone,5.2.0,1533068530,199,UserCollectdList,23399,play
Z48213756Q,pc,2.4.0.196505,1533107455,208,DailyRecommends,63175,play
T77605407C,ipad,1.6.2,1533059297,103,PersonalFM,34694,play
J92943713N,android,5.4.0,1533105077,66,UserLikeList,17898,play
Y16851830J,android,5.4.0,1533110296,39,DailyRecommends,72166,play
F30777353I,iphone,5.4.0,1533114096,80,DailyRecommends,40081,play
S56240037J,android,5.4.0,1533137094,144,UserCreatedList,71949,play
B80643379M,iphone,5.4.0,1533135726,10,RecommendedList,51973,play
S89687015I,iphone,5.4.0,1533135555,41,PersonalFM,34173,play
V35069768I,pc,2.4.0.196505,1533118306,8,UserLikeList,91750,play
C22840413X,ipad,1.6.2,1533091242,103,RecommendedList,22531,play
P5057323S,android,5.4.0,1533100287,171,UserLikeList,69274,play
F44185820D,pc,2.4.0.196505,1533093823,183,UserLikeList,18218,play
E18132120T,android,5.4.0,1533125237,38,Local,25920,play
S53427275F,android,5.4.0,1533058039,17,artist,42209,play
T28810650A,iphone,5.4.0,1533116073,27,UserLikeList,9553,play
M33841527K,iphone,5.4.0,1533134789,31,UserLikeList,16935,play
M66969654C,android,5.3.1,1533064369,61,UserLikeList,24144,play
Z6261594D,pc,2.4.0.196505,1533115509,139,DailyRecommends,48719,play
D78917376X,iphone,5.4.0,1533088298,33,UserLikeList,11967,play
X81501938S,pc,2.5.0.196623,1533114865,81,UserCollectdList,4358,play
Z74142197A,android,5.4.0,1533126901,78,Downloaded,2399,play
G74517283J,android,5.4.0,1533134193,170,UserLikeList,60866,play
S96515451T,iphone,5.4.0,1533121222,54,RecommendedList,83588,play
P42894815Y,android,5.4.0,1533091081,151,DailyRecommends,71926,play
N65451205T,iphone,5.2.0,1533137193,182,UserCreatedList,21687,play
R34842674C,android,5.4.0,1533100591,41,UserLikeList,78721,play
Z61454678V,android,5.4.0,1533116229,170,UserLikeList,81730,play
F28314513L,iphone,5.4.0,1533136311,12,RecommendedList,67793,play
S62305961E,iphone,5.3.0,1533081023,122,UserCreatedList,82537,play
M10833214C,android,5.4.0,1533087754,167,UserCreatedList,71727,play
H15473548F,android,5.4.0,1533138259,157,UserLikeList,50168,play
A87025529B,android,5.4.0,1533083927,93,UserCreatedList,15097,play
H96919398P,pc,2.5.0.196623,1533116415,165,RecommendedList,15711,play
X15618243H,android,5.4.0,1533097542,90,UserCreatedList,50059,play
R28889861X,pc,2.1.2.184499,1533115492,15,RecommendedList,6117,play
Z52183969P,iphone,5.0.0,1533112602,47,RecommendedList,23516,play
X72259939E,iphone,5.3.0,1533113021,53,DailyRecommends,91775,play
O70276392Z,android,5.3.1,1533134233,98,search,42276,play
M1122272G,android,5.3.1,1533118896,80,DailyRecommends,26852,play
H47561186G,iphone,5.4.0,1533097743,41,UserCreatedList,97566,play
G91758085V,pc,2.4.0.196505,1533057101,206,UserLikeList,42655,play
F71588708P,android,5.0.0,1533133547,49,UserLikeList,97389,play
A3654460I,iphone,5.4.0,1533119967,42,UserLikeList,63890,play
F25731824L,android,5.4.0,1533105020,189,UserLikeList,34784,play
O51282315X,pc,2.2.3.196108,1533096700,75,UserCollectdList,66511,play
Z23552147B,android,5.1.1,1533117211,77,PersonalFM,95186,play
F62839635M,android,5.3.0,1533053699,128,PersonalFM,62978,play
V57384429S,pc,2.4.0.196402,1533127884,200,DailyRecommends,26236,play
S95313796O,iphone,5.4.0,1533066490,130,DailyRecommends,14251,play
E17082938G,android,5.3.1,1533131480,4,UserLikeList,96626,play
Q10706169T,android,5.3.1,1533104566,80,UserCreatedList,90051,play
W34174162C,iphone,5.4.0,1533095596,111,DailyRecommends,57899,play
Q46942105S,android,5.4.0,1533081240,71,UserLikeList,83036,play
P58731887S,pc,2.4.0.196505,1533115818,186,RecommendedList,25710,play
F7849919H,iphone,5.4.0,1533085200,18,UserLikeList,44044,play
S41306755O,pc,2.4.0.196402,1533089440,57,PersonalFM,48916,play
W39422227B,android,5.4.0,1533113536,0,UserLikeList,1053,play
H21037288J,android,5.4.0,1533056292,152,UserLikeList,52742,play
H39325280Q,android,5.4.0,1533079182,201,UserLikeList,904,play
I84556753K,android,5.4.0,1533093850,109,RecentlyPlayed,52919,play
U39152911G,android,5.4.0,1533128502,120,UserCollectdList,24152,play
Q34485537R,android,5.3.1,1533121740,15,RecommendedList,63610,play
X43838652J,iphone,5.4.0,1533138689,58,UserLikeList,92820,play
T44440852Z,iphone,4.0.1,1533098196,111,DailyRecommends,61972,play
Q27089604R,android,5.4.0,1533093769,84,DailyRecommends,68961,play
N59965708Y,pc,2.3.0.196231,1533124519,158,UserLikeList,47383,play
Y73944290P,iphone,5.0.0,1533114502,127,UserLikeList,11314,play
I73293019Q,iphone,5.4.0,1533120748,39,UserLikeList,18696,play
C98730695E,iphone,5.4.0,1533053790,45,PersonalFM,35268,play
I85503246O,android,5.3.1,1533130780,92,DailyRecommends,37340,play
Q24967336L,android,5.4.0,1533137187,34,UserCreatedList,7687,play
I69972833K,android,5.4.0,1533133852,126,PersonalFM,4768,play
Q44660649J,iphone,5.4.0,1533138081,18,UserCreatedList,74871,play
C39107844W,android,5.4.0,1533079003,189,UserCollectdList,42746,play
W84551393O,pc,2.2.3.196108,1533103222,166,DailyRecommends,68651,play
I90066733G,android,5.4.0,1533132501,4,UserCreatedList,90041,play
P9090633Y,android,5.3.1,1533089097,27,UserLikeList,29860,play
Z28949931E,iphone,5.3.0,1533136763,148,UserCollectdList,4150,play
L92426255X,android,5.4.0,1533135220,129,UserCollectdList,30278,play
D90699399R,iphone,5.4.0,1533092708,31,UserLikeList,55143,play
Q221554J,pc,2.5.0.196623,1533109581,109,UserLikeList,21482,play
M67408673D,iphone,5.4.0,1533123411,157,UserLikeList,81368,play
Y81073593C,android,5.4.0,1533115644,124,RecommendedList,59439,play
N22654947S,android,3.8.1,1533103664,84,DailyRecommends,16870,play
V7047830S,pc,2.4.0.196505,1533086882,12,UserLikeList,37730,play
A63059081A,android,5.3.1,1533132310,36,UserLikeList,8969,play
E61819287Z,pc,2.4.0.196505,1533133610,128,UserCreatedList,90521,play
B27137366A,android,5.4.0,1533136796,145,DailyRecommends,87489,play
D93483238G,android,5.4.0,1533095247,108,Local,8670,play
V9961761Z,android,5.4.0,1533053348,79,Local,90203,play
L45150856Q,android,5.4.0,1533137047,122,DailyRecommends,20363,play
X14732191J,pc,2.3.0.196231,1533094445,28,RecommendedList,50539,play
C28878066V,android,5.3.1,1533073193,101,RecentlyPlayed,41330,play
H82761540Q,android,5.4.0,1533090530,98,UserLikeList,52919,play
J87607469Z,android,5.4.0,1533063274,49,RecommendedList,30758,play
O79900961J,iphone,5.4.0,1533098261,13,RecommendedList,20786,play
H20187554E,pc,2.4.0.196505,1533094690,108,UserLikeList,22937,play